"trial_index","color1","music1","color2","music2","coord1","start1","coord2","start2","type"
"1","DY","Indie","BK","Alternative","137.5,137.5,0","0:00","0,0,0","0:00","1-1"
"2","DY","Mozart","MB","Alternative","137.5,137.5,0","0:00","114.7058823,130.3921568,219.6078433","0:00","0-1"
"3","A2","Alternative","LY","Bach","157.75,157.75,157.75","0:00","250,233.25,130.5","0:00","0-2"
"4","SR","Heavy Metal","DB","Bach","250,0,44","0:00","14.70588225,65.6862745,164.7058823","0:00","1-2"
"5","BK","Irish","LO","Bach","0,0,0","0:00","250,171.5,114.75","0:00","2-2"
"6","BK","Mozart","A1","Bach","0,0,0","0:00","100,100,100","0:00","0-1"
"7","DY","Mozart","DB","Bach","137.5,137.5,0","0:00","14.70588225,65.6862745,164.7058823","0:00","0-2"
"8","A2","Salsa","LO","Bach","157.75,157.75,157.75","0:00","250,171.5,114.75","0:00","0-2"
"9","A2","Alternative","SP","Classic Rock","157.75,157.75,157.75","0:00","200,0,250","0:00","0-3"
"10","LO","Bach","SP","Classic Rock","250,171.5,114.75","0:00","200,0,250","0:00","2-3"
"11","DB","Classic Rock","SP","Classic Rock","14.70588225,65.6862745,164.7058823","0:00","200,0,250","0:00","0-3"
"12","SP","Indie","SP","Classic Rock","200,0,250","0:00","200,0,250","0:00","0-3"
"13","SH","Mozart","LY","Classic Rock","141.25,250,0","0:00","250,233.25,130.5","0:00","1-2"
"14","A2","Piano","SP","Classic Rock","157.75,157.75,157.75","0:00","200,0,250","0:00","2-3"
"15","DY","Piano","SP","Classic Rock","137.5,137.5,0","0:00","200,0,250","0:00","1-3"
"16","DG","Salsa","SP","Classic Rock","0,117.6470588,88.235294","0:00","200,0,250","0:00","0-3"
"17","SH","Smooth Jazz","SH","Country","141.25,250,0","0:00","141.25,250,0","0:00","0-0"
"18","SR","Dubstep","SH","Dubstep","250,0,44","0:00","141.25,250,0","0:00","1-2"
"19","SH","Mozart","SR","Dubstep","141.25,250,0","0:00","250,0,44","0:00","1-1"
"20","BK","Mozart","BK","Funk","0,0,0","0:00","0,0,0","0:00","0-2"
"21","A2","Smooth Jazz","BK","Funk","157.75,157.75,157.75","0:00","0,0,0","0:00","2-2"
"22","BK","Alternative","BK","Indie","0,0,0","0:00","0,0,0","0:00","1-1"
"23","MC","Hindustani Sitar","DY","Indie","67.64705875,172.5490195,187.254902","0:00","137.5,137.5,0","0:00","1-1"
"24","A2","Piano","A2","Indie","157.75,157.75,157.75","0:00","157.75,157.75,157.75","0:00","2-2"
"25","MB","Piano","MB","Indie","114.7058823,130.3921568,219.6078433","0:00","114.7058823,130.3921568,219.6078433","0:00","3-3"
"26","A2","Salsa","SP","Indie","157.75,157.75,157.75","0:00","200,0,250","0:00","0-0"
"27","LY","Classic Rock","BK","Irish","250,233.25,130.5","0:00","0,0,0","0:00","2-2"
