subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
77521,0,0,2130.2000000029802,"New York,Boston,Chicago",XX,en-q1,3,assess
77521,1,1,1603.2999999970198,"pebble,cat,frog",XX,en-q3,5,assess
77521,1,1,5369.29999999702,"3,4,5",XX,en-q2,10,assess
77521,0,0,1665.5,"doctor,dentist,psychiatrist",XX,en-q4,27,assess
77521,LR,2,17822.40000000596,"[u'SH', u'MB', u'LR', u'DH']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'250,119.5,143.25', u'99,137.5,0']",Salsa,1,target
77521,MB,0,19062.29999999702,"[u'MB', u'DG', u'LH', u'SP']","[u'114.7058823,130.3921568,219.6078433', u'0,117.6470588,88.235294', u'197,250,127.5', u'200,0,250']",Classic Rock,2,target
77521,DO,2,17808.5,"[u'SH', u'A2', u'DO', u'MB']","[u'141.25,250,0', u'157.75,157.75,157.75', u'137.5,80.5,0', u'114.7058823,130.3921568,219.6078433']",Mozart,4,target
77521,LO,0,21220.09999999404,"[u'LO', u'A2', u'DB', u'SH']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0']",upper_left,6,catch
77521,SH,0,18588.40000000596,"[u'SH', u'MB', u'DH', u'MY']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'99,137.5,0', u'214.75,192.25,47']",Progressive House,7,target
77521,SR,2,17439.79999999702,"[u'A2', u'SH', u'SR', u'LG']","[u'157.75,157.75,157.75', u'141.25,250,0', u'250,0,44', u'106.862745,232.3529413,180.3921568']",Balkan Folk,8,target
77521,SB,0,17306.29999999702,"[u'SB', u'DO', u'LO', u'LR']","[u'59.8039215,123.5294118,250', u'137.5,80.5,0', u'250,171.5,114.75', u'250,119.5,143.25']",Dubstep,9,target
77521,SB,1,23922.19999998808,"[u'A2', u'SB', u'LH', u'DY']","[u'157.75,157.75,157.75', u'59.8039215,123.5294118,250', u'197,250,127.5', u'137.5,137.5,0']",Alternative,11,target
77521,DP,2,16988.40000000596,"[u'SY', u'A3', u'DP', u'MY']","[u'250,250,0', u'197,197,197', u'113.7254903,0,145.0980393', u'214.75,192.25,47']",Hindustani Sitar,12,target
77521,SY,2,17066.29999999702,"[u'DY', u'MB', u'SY', u'A1']","[u'137.5,137.5,0', u'114.7058823,130.3921568,219.6078433', u'250,250,0', u'100,100,100']",Electronic,13,target
77521,DY,1,17233,"[u'DB', u'DY', u'MY', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0', u'214.75,192.25,47', u'157.75,157.75,157.75']",Dixieland,14,target
77521,DY,3,16876.30000001192,"[u'MY', u'A1', u'SH', u'DY']","[u'214.75,192.25,47', u'100,100,100', u'141.25,250,0', u'137.5,137.5,0']",Big Band,15,target
77521,DO,1,18878.70000000298,"[u'SH', u'DO', u'A3', u'SR']","[u'141.25,250,0', u'137.5,80.5,0', u'197,197,197', u'250,0,44']",upper_right,16,catch
77521,A3,0,16824.20000000298,"[u'A3', u'LR', u'SO', u'SH']","[u'197,197,197', u'250,119.5,143.25', u'250,100,0', u'141.25,250,0']",Heavy Metal,17,target
77521,A2,0,17337.90000000596,"[u'A2', u'DY', u'LO', u'DB']","[u'157.75,157.75,157.75', u'137.5,137.5,0', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823']",Jazz,18,target
77521,SO,1,16681.70000000298,"[u'A1', u'SO', u'MY', u'SH']","[u'100,100,100', u'250,100,0', u'214.75,192.25,47', u'141.25,250,0']",Ska,19,target
77521,LC,1,19680.90000000596,"[u'MO', u'LC', u'SR', u'DR']","[u'222.5,130.5,64.75', u'104.9019608,215.6862745,232.3529413', u'250,0,44', u'174.5,0,5.5']",Trance,20,target
77521,BK,1,17038.29999999702,"[u'MO', u'BK', u'A2', u'MB']","[u'222.5,130.5,64.75', u'0,0,0', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Smooth Jazz,21,target
77521,DH,2,16969.79999999702,"[u'SY', u'A2', u'DH', u'LG']","[u'250,250,0', u'157.75,157.75,157.75', u'99,137.5,0', u'106.862745,232.3529413,180.3921568']",Folk,22,target
77521,LO,1,16918.10000000894,"[u'A2', u'LO', u'SH', u'DB']","[u'157.75,157.75,157.75', u'250,171.5,114.75', u'141.25,250,0', u'14.70588225,65.6862745,164.7058823']",Stravinsky,23,target
77521,DC,2,16552.79999999702,"[u'MB', u'MO', u'DC', u'A2']","[u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75', u'3.92156875,130.3921568,150', u'157.75,157.75,157.75']",Indie,24,target
77521,A1,2,16966.29999999702,"[u'SP', u'LH', u'A1', u'DY']","[u'200,0,250', u'197,250,127.5', u'100,100,100', u'137.5,137.5,0']",Bach,25,target
77521,A2,2,16542.09999999404,"[u'MO', u'BK', u'A2', u'MB']","[u'222.5,130.5,64.75', u'0,0,0', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Piano,26,target
