subj_code,choice_label,choice_key,rt,bbox0,bbox1,bbox2,bbox3,img_id,label,trial_number,type
abcd,1,1,791,44,245,144,326,52_52609,ornament,13,assess7
abcd,2,2,390,18,210,92,257,5_5463,fruit,16,assess1
abcd,3,3,298,232,346,94,239,13_13308,egg,61,assess1
abcd,1,1,306,28,273,250,324,15_15234,boat,142,assess7
abcd,2,2,217,73,261,48,236,21_21432,ball,161,assess1
abcd,3,3,323,146,287,77,183,16_16405,insect,204,assess7
abcd,1,1,634,44,245,144,326,52_52609,ornament,13,assess7
abcd,2,2,121,18,210,92,257,5_5463,fruit,16,assess1
abcd,3,3,79,232,346,94,239,13_13308,egg,61,assess1
abcd,1,1,210,28,273,250,324,15_15234,boat,142,assess7
abcd,2,2,114,73,261,48,236,21_21432,ball,161,assess1
abcd,3,3,64,146,287,77,183,16_16405,insect,204,assess7
abcd,1,1,2212,23,266,48,278,5_5380,apple,7,main
abcd,2,2,109,63,382,86,297,12_12018,fruit,8,main
abcd,3,3,47,192,344,129,192,145_145108,woman,9,main
abcd,1,1,116,30,214,106,359,94_94681,bee,10,main
abcd,2,2,56,50,281,67,326,179_179108,apple,11,main
abcd,1,1,689,232,346,94,239,13_13308,egg,61,assess1
abcd,2,2,104,28,273,250,324,15_15234,boat,142,assess7
abcd,3,3,97,73,261,48,236,21_21432,ball,161,assess1
abcd,1,1,190,146,287,77,183,16_16405,insect,204,assess7
abcd,1,1,664,232,346,94,239,13_13308,egg,61,assess1
abcd,2,2,324,28,273,250,324,15_15234,boat,142,assess7
abcd,3,3,172,73,261,48,236,21_21432,ball,161,assess1
abcd,1,1,367,146,287,77,183,16_16405,insect,204,assess7
abcd,1,1,4414,232,346,94,239,13_13308,egg,61,assess1
abcd,1,1,15000,232,346,94,239,13_13308,egg,61,assess1
abcd,1,1,1539,28,273,250,324,15_15234,boat,142,assess7
abcd,1,1,1777,73,261,48,236,21_21432,ball,161,assess1
abcd,2,2,2753,146,287,77,183,16_16405,insect,204,assess7
abcd,1,1,1034,101,227,35,365,154_154292,car,27,main
abcd,2,2,4034,8,384,49,172,180_180705,boy,28,main
abcd,3,3,1068,105,298,40,283,113_113905,squirrel,29,main
abcd,1,1,1067,232,346,94,239,13_13308,egg,61,assess1
abcd,2,2,557,28,273,250,324,15_15234,boat,142,assess7
abcd,2,2,872,73,261,48,236,21_21432,ball,161,assess1
abcd,2,2,1013,146,287,77,183,16_16405,insect,204,assess7
abcd,1,1,591,48,182,36,362,133_133988,fish,34,main
abcd,2,2,2153,56,232,219,332,17_17405,leaf,35,main
abcd,2,2,1576,38,354,42,255,23_23544,clock,36,main
abcd,2,2,2790,71,350,90,278,90_90027,waterfall,37,main
abcd,2,2,1182,48,278,79,316,119_119915,shell,38,main
abcd,2,2,1825,8,314,78,205,202_202354,sign,39,main
abcd,2,2,2011,40,364,48,142,147_147116,statue,40,main
abcd,1,1,3834,95,300,6,330,0_187,frog,41,main
abcd,2,2,1174,42,308,32,290,178_178032,squirrel,42,main
abcd,3,3,1003,91,340,67,223,209_209397,child,43,main
abcd,1,1,446,22,315,66,269,24_24139,dog,44,main
abcd,2,2,433,42,261,112,293,63_63062,toy,45,main
abcd,3,3,714,14,236,78,312,13_13386,egg,46,main
abcd,1,1,633,88,243,185,306,133_133364,light,47,main
abcd,2,2,589,45,252,95,267,189_189062,bird,48,main
abcd,3,3,383,35,381,55,200,30_30022,man,49,main
abcd,1,1,857,17,232,80,332,157_157529,dog,50,main
abcd,1,1,677,232,346,94,239,13_13308,egg,61,assess1
abcd,2,2,1180,28,273,250,324,15_15234,boat,142,assess7
abcd,3,3,1278,73,261,48,236,21_21432,ball,161,assess1
abcd,1,1,1353,146,287,77,183,16_16405,insect,204,assess7
abcd,1,1,624,45,320,27,276,188_188715,doll,55,main
abcd,2,2,601,136,293,14,228,72_72319,statue,56,main
abcd,3,3,721,28,273,250,324,15_15234,boat,57,main
abcd,1,1,567,16,222,10,193,152_152284,butterfly,58,main
abcd,2,2,476,44,248,115,284,27_27037,plane,59,main
abcd,1,1,623,16,344,52,256,99_99481,face,60,main
abcd,2,2,637,27,165,54,371,30_30443,car,62,main
abcd,3,3,665,48,366,32,230,204_204311,lighthouse,63,main
abcd,1,1,369,54,358,40,236,94_94612,building,64,main
abcd,2,2,500,80,392,44,204,134_134692,boy,65,main
abcd,3,3,449,70,256,64,279,36_36139,boat,66,main
abcd,1,1,828,23,400,68,217,103_103564,plant,67,main
abcd,2,2,489,43,214,47,362,162_162614,cat,68,main
abcd,3,3,395,103,313,75,253,24_24453,baby,69,main
abcd,1,1,1411,95,255,159,375,153_153551,ornament,70,main
abcd,2,2,658,16,231,120,305,128_128666,baby,71,main
abcd,3,3,557,18,210,92,257,5_5463,fruit,72,main
abcd,1,1,947,34,400,85,223,201_201125,woman,73,main
abcd,2,2,492,13,256,109,357,66_66111,ball,74,main
abcd,3,3,502,47,335,50,313,195_195024,fish,75,main
abcd,1,1,550,56,234,78,304,38_38642,egg,76,main
abcd,2,2,423,32,237,93,350,187_187449,shell,77,main
