bbox0,bbox1,bbox2,bbox3,img_id,label,trial_number,type
12,278,90,377,0_101,toy,1,main
8,314,78,205,202_202354,sign,2,main
56,238,84,354,18_18856,butterfly,3,main
48,366,32,230,204_204311,lighthouse,4,main
94,327,154,274,31_31083,bee,5,main
88,243,185,306,133_133364,light,6,main
116,360,0,388,99_99354,people,7,main
76,348,85,235,61_61035,clock,8,main
188,352,35,216,185_185696,building,9,main
23,266,48,278,5_5380,apple,10,main
61,157,108,286,93_93852,lamp,11,main
78,345,64,237,134_134647,lamp,12,main
19,258,124,272,145_145348,owl,13,main
30,215,82,256,161_161511,window,14,main
118,283,19,350,1_1427,car,15,main
54,358,40,236,94_94612,building,16,main
63,382,86,297,12_12018,fruit,17,main
66,184,60,382,159_159161,owl,18,main
50,398,73,237,90_90390,child,19,main
28,183,57,340,44_44945,metal,20,main
49,290,89,292,185_185947,horse,21,main
109,297,27,346,206_206788,butterfly,22,main
70,256,64,279,36_36139,boat,23,main
57,360,98,199,45_45020,waterfall,24,main
112,357,83,158,202_202345,boy,25,main
232,346,94,239,13_13308,egg,26,assess1
115,344,34,276,97_97915,apple,27,main
71,350,90,278,90_90027,waterfall,28,main
125,382,112,221,126_126029,lighthouse,29,main
49,263,21,370,77_77174,building,30,main
50,281,67,326,179_179108,apple,31,main
20,361,42,234,84_84933,baby,32,main
148,388,26,188,20_20968,man,33,main
27,165,54,371,30_30443,car,34,main
78,217,118,260,5_5456,apple,35,main
8,384,49,172,180_180705,boy,36,main
105,342,48,307,119_119059,sculpture,37,main
146,287,77,183,16_16405,insect,38,assess7
115,214,21,255,204_204598,insect,39,main
128,302,125,381,181_181957,horse,40,main
35,379,67,234,196_196496,bottle,41,main
19,252,36,238,128_128304,candle,42,main
82,217,194,320,94_94584,bottle,43,main
63,328,73,200,98_98946,insect,44,main
39,262,74,288,162_162516,flower,45,main
28,273,250,324,15_15234,boat,46,main
40,176,35,201,127_127835,shell,47,main
19,257,64,323,107_107692,fruit,48,main
112,285,186,398,49_49774,candle,49,main
56,267,155,305,180_180398,lamp,50,main
112,206,34,317,21_21427,boat,51,main
38,362,53,230,147_147009,window,52,main
44,245,144,326,52_52609,ornament,53,main
40,171,27,368,142_142750,sign,54,main
77,191,64,362,170_170287,ornament,55,main
13,256,109,357,66_66111,ball,56,main
14,236,78,312,13_13386,egg,57,main
39,327,38,225,141_141284,child,58,main
38,240,85,271,39_39748,leaf,59,main
22,248,84,330,99_99483,statue,60,main
0,286,55,256,102_102955,face,61,main
95,300,6,330,0_187,frog,62,main
73,261,48,236,21_21432,ball,63,assess1
44,330,103,307,77_77162,dog,64,main
94,268,7,240,97_97863,flower,65,main
45,252,95,267,189_189062,bird,66,main
56,232,219,332,17_17405,leaf,67,main
104,240,52,303,182_182867,sign,68,main
50,278,118,353,37_37335,ball,69,main
32,204,72,260,210_210990,flower,70,main
68,265,105,300,5_5763,food,71,main
73,261,48,236,21_21432,ball,72,main
10,266,202,344,168_168221,girl,73,main
50,314,32,261,0_254,light,74,main
52,288,95,324,192_192493,squirrel,75,main
28,273,250,324,15_15234,boat,76,assess7
109,273,176,337,141_141811,candle,77,main
32,330,119,220,175_175140,waterfall,78,main
143,339,16,236,153_153091,people,79,main
81,309,92,217,210_210146,fire,80,main
58,400,8,218,209_209649,woman,81,main
8,268,124,330,79_79149,light,82,main
26,227,65,325,39_39745,cat,83,main
16,344,52,256,99_99481,face,84,main
29,368,85,247,146_146987,sculpture,85,main
118,367,57,250,0_454,dog,86,main
56,256,95,333,204_204609,shell,87,main
14,288,170,390,116_116611,sculpture,88,main
45,320,27,276,188_188715,doll,89,main
48,278,79,316,119_119915,shell,90,main
80,392,44,204,134_134692,boy,91,main
32,265,84,314,56_56734,toy,92,main
22,210,69,352,17_17461,bird,93,main
18,210,92,257,5_5463,fruit,94,assess1
1,267,103,295,4_4167,toy,95,main
192,344,129,192,145_145108,woman,96,main
106,206,156,343,9_9706,plane,97,main
32,361,102,288,131_131328,clock,98,main
56,234,78,304,38_38642,egg,99,main
79,214,102,270,45_45771,insect,100,main
146,287,77,183,16_16405,insect,101,main
67,201,106,240,50_50198,eye,102,main
149,251,56,232,24_24512,bee,103,main
57,312,53,239,188_188371,bird,104,main
54,239,89,160,154_154435,boy,105,main
16,222,10,193,152_152284,butterfly,106,main
17,232,80,332,157_157529,dog,107,main
56,384,171,362,156_156910,baby,108,main
50,194,90,286,10_10038,eye,109,main
101,197,130,336,153_153069,horse,110,main
18,210,92,257,5_5463,fruit,111,main
84,206,101,325,156_156277,building,112,main
32,237,93,350,187_187449,shell,113,main
23,400,68,217,103_103564,plant,114,main
35,381,55,200,30_30022,man,115,main
44,245,144,326,52_52609,ornament,116,assess7
38,274,65,314,176_176270,plant,117,main
16,231,120,305,128_128666,baby,118,main
91,340,67,223,209_209397,child,119,main
48,182,36,362,133_133988,fish,120,main
53,337,38,214,62_62592,fire,121,main
68,373,127,385,110_110162,window,122,main
30,256,94,367,95_95010,animal,123,main
77,242,153,340,139_139351,plant,124,main
22,315,66,269,24_24139,dog,125,main
53,163,58,189,162_162919,bee,126,main
43,294,127,348,61_61228,cat,127,main
10,369,76,187,50_50829,bottle,128,main
20,334,46,238,144_144426,girl,129,main
43,214,47,362,162_162614,cat,130,main
95,255,159,375,153_153551,ornament,131,main
32,266,52,166,62_62769,lamp,132,main
100,234,213,356,160_160423,owl,133,main
24,192,83,247,84_84983,fire,134,main
188,372,29,282,26_26256,horse,135,main
22,257,70,200,62_62200,fire,136,main
106,222,30,371,83_83210,plane,137,main
40,266,84,289,51_51286,metal,138,main
61,368,63,246,183_183561,girl,139,main
33,255,40,351,51_51547,animal,140,main
118,280,92,277,86_86054,leaf,141,main
112,186,130,281,120_120014,metal,142,main
48,400,83,258,102_102991,child,143,main
126,248,154,378,15_15466,animal,144,main
42,285,45,194,204_204360,lighthouse,145,main
80,211,64,313,123_123309,doll,146,main
26,202,96,293,13_13345,food,147,main
50,171,35,319,1_1134,plane,148,main
22,356,20,236,87_87881,doll,149,main
30,214,106,359,94_94681,bee,150,main
100,210,64,308,0_342,eye,151,main
110,370,40,286,31_31127,butterfly,152,main
63,259,95,352,128_128692,frog,153,main
40,364,48,142,147_147116,statue,154,main
81,188,80,151,142_142577,sign,155,main
40,328,38,129,202_202120,man,156,main
11,331,60,300,206_206284,egg,157,main
6,385,45,192,3_3289,doll,158,main
55,220,47,208,151_151388,ball,159,main
61,272,48,214,5_5888,bird,160,main
75,366,41,214,150_150848,girl,161,main
31,242,156,300,158_158995,squirrel,162,main
113,379,16,305,117_117101,leaf,163,main
24,152,115,293,66_66299,candle,164,main
22,374,95,188,163_163713,woman,165,main
70,239,71,214,170_170079,ornament,166,main
101,227,35,365,154_154292,car,167,main
34,364,33,202,174_174998,owl,168,main
80,384,102,190,197_197758,lighthouse,169,main
107,268,217,324,124_124127,metal,170,main
28,376,70,220,200_200663,animal,171,main
34,336,154,359,207_207747,face,172,main
48,263,79,372,23_23824,food,173,main
136,293,14,228,72_72319,statue,174,main
103,313,75,253,24_24453,baby,175,main
47,335,50,313,195_195024,fish,176,main
70,360,75,227,192_192350,cat,177,main
41,288,65,245,88_88660,people,178,main
74,312,46,375,83_83931,food,179,main
34,302,47,242,40_40790,window,180,main
56,266,181,400,206_206720,people,181,main
