bbox0,bbox1,bbox2,bbox3,img_id,label,trial_number,type
67,201,106,240,50_50198,eye,1,main
18,210,92,257,5_5463,fruit,2,main
107,268,217,324,124_124127,metal,3,main
24,192,83,247,84_84983,fire,4,main
146,287,77,183,16_16405,insect,5,assess7
13,256,109,357,66_66111,ball,6,main
112,206,34,317,21_21427,boat,7,main
48,366,32,230,204_204311,lighthouse,8,main
52,350,94,317,101_101787,face,9,main
149,251,56,232,24_24512,bee,10,main
192,344,129,192,145_145108,woman,11,main
1,267,103,295,4_4167,toy,12,main
73,261,48,236,21_21432,ball,13,main
53,337,38,214,62_62592,fire,14,main
32,237,93,350,187_187449,shell,15,main
84,206,101,325,156_156277,building,16,main
71,350,90,278,90_90027,waterfall,17,main
32,330,119,220,175_175140,waterfall,18,main
48,278,79,316,119_119915,shell,19,main
57,312,53,239,188_188371,bird,20,main
28,376,70,220,200_200663,animal,21,main
22,374,95,188,163_163713,woman,22,main
72,296,80,320,123_123045,clock,23,main
77,242,153,340,139_139351,plant,24,main
8,314,78,205,202_202354,sign,25,main
95,255,159,375,153_153551,ornament,26,main
44,190,161,360,94_94386,eye,27,main
12,278,90,377,0_101,toy,28,main
22,315,66,269,24_24139,dog,29,main
56,232,219,332,17_17405,leaf,30,main
50,384,86,210,204_204163,statue,31,main
50,281,67,326,179_179108,apple,32,main
53,163,58,189,162_162919,bee,33,main
109,273,176,337,141_141811,candle,34,main
81,309,92,217,210_210146,fire,35,main
63,259,95,352,128_128692,frog,36,main
79,214,102,270,45_45771,insect,37,main
56,266,181,400,206_206720,people,38,main
56,234,78,304,38_38642,egg,39,main
28,183,57,340,44_44945,metal,40,main
40,328,38,129,202_202120,man,41,main
23,400,68,217,103_103564,plant,42,main
11,222,112,319,0_180,plant,43,main
40,176,35,201,127_127835,shell,44,main
42,261,112,293,63_63062,toy,45,main
106,206,156,343,9_9706,plane,46,main
44,330,103,307,77_77162,dog,47,main
78,345,64,237,134_134647,lamp,48,main
34,302,47,242,40_40790,window,49,main
80,392,44,204,134_134692,boy,50,main
50,314,32,261,0_254,light,51,main
20,334,46,238,144_144426,girl,52,main
101,227,35,365,154_154292,car,53,main
27,165,54,371,30_30443,car,54,main
68,265,105,300,5_5763,food,55,main
48,400,83,258,102_102991,child,56,main
112,285,186,398,49_49774,candle,57,main
105,342,48,307,119_119059,sculpture,58,main
19,252,36,238,128_128304,candle,59,main
109,297,27,346,206_206788,butterfly,60,main
80,384,102,190,197_197758,lighthouse,61,main
56,267,155,305,180_180398,lamp,62,main
118,283,19,350,1_1427,car,63,main
146,287,77,183,16_16405,insect,64,main
8,384,49,172,180_180705,boy,65,main
28,273,250,324,15_15234,boat,66,main
34,364,33,202,174_174998,owl,67,main
106,222,30,371,83_83210,plane,68,main
32,266,52,166,62_62769,lamp,69,main
58,400,8,218,209_209649,woman,70,main
40,171,27,368,142_142750,sign,71,main
50,278,118,353,37_37335,ball,72,main
100,210,64,308,0_342,eye,73,main
73,261,48,236,21_21432,ball,74,assess1
61,272,48,214,5_5888,bird,75,main
31,270,65,292,20_20836,frog,76,main
16,344,52,256,99_99481,face,77,main
112,357,83,158,202_202345,boy,78,main
100,234,213,356,160_160423,owl,79,main
104,240,52,303,182_182867,sign,80,main
101,197,130,336,153_153069,horse,81,main
78,217,118,260,5_5456,apple,82,main
70,360,75,227,192_192350,cat,83,main
50,398,73,237,90_90390,child,84,main
30,256,94,367,95_95010,animal,85,main
41,231,52,392,205_205378,frog,86,main
57,360,98,199,45_45020,waterfall,87,main
26,227,65,325,39_39745,cat,88,main
148,388,26,188,20_20968,man,89,main
52,288,95,324,192_192493,squirrel,90,main
48,182,36,362,133_133988,fish,91,main
75,366,41,214,150_150848,girl,92,main
10,266,202,344,168_168221,girl,93,main
16,222,10,193,152_152284,butterfly,94,main
110,370,40,286,31_31127,butterfly,95,main
44,248,115,284,27_27037,plane,96,main
94,327,154,274,31_31083,bee,97,main
16,247,74,342,182_182421,flower,98,main
56,238,84,354,18_18856,butterfly,99,main
49,263,21,370,77_77174,building,100,main
86,212,160,260,59_59814,man,101,main
20,361,42,234,84_84933,baby,102,main
31,242,156,300,158_158995,squirrel,103,main
19,262,60,324,125_125540,sculpture,104,main
82,217,194,320,94_94584,bottle,105,main
88,243,185,306,133_133364,light,106,main
115,214,21,255,204_204598,insect,107,main
45,320,27,276,188_188715,doll,108,main
22,210,69,352,17_17461,bird,109,main
34,336,154,359,207_207747,face,110,main
98,253,46,166,78_78470,fruit,111,main
35,379,67,234,196_196496,bottle,112,main
40,190,14,398,60_60472,fish,113,main
188,352,35,216,185_185696,building,114,main
42,308,32,290,178_178032,squirrel,115,main
61,157,108,286,93_93852,lamp,116,main
26,202,96,293,13_13345,food,117,main
44,245,144,326,52_52609,ornament,118,assess7
28,273,250,324,15_15234,boat,119,assess7
74,312,46,375,83_83931,food,120,main
24,152,115,293,66_66299,candle,121,main
188,372,29,282,26_26256,horse,122,main
30,215,82,256,161_161511,window,123,main
76,348,85,235,61_61035,clock,124,main
23,266,48,278,5_5380,apple,125,main
55,220,47,208,151_151388,ball,126,main
232,346,94,239,13_13308,egg,127,assess1
126,248,154,378,15_15466,animal,128,main
32,204,72,260,210_210990,flower,129,main
17,232,80,332,157_157529,dog,130,main
91,340,67,223,209_209397,child,131,main
8,268,124,330,79_79149,light,132,main
40,266,84,289,51_51286,metal,133,main
64,226,16,358,74_74041,boat,134,main
0,286,55,256,102_102955,face,135,main
22,248,84,330,99_99483,statue,136,main
81,188,80,151,142_142577,sign,137,main
16,231,120,305,128_128666,baby,138,main
50,194,90,286,10_10038,eye,139,main
43,294,127,348,61_61228,cat,140,main
38,354,42,255,23_23544,clock,141,main
40,364,48,142,147_147116,statue,142,main
45,252,95,267,189_189062,bird,143,main
91,240,23,380,194_194859,car,144,main
62,274,156,238,41_41899,bottle,145,main
54,358,40,236,94_94612,building,146,main
6,385,45,192,3_3289,doll,147,main
232,346,94,239,13_13308,egg,148,main
137,288,38,356,116_116703,waterfall,149,main
22,257,70,200,62_62200,fire,150,main
19,258,124,272,145_145348,owl,151,main
38,274,65,314,176_176270,plant,152,main
56,384,171,362,156_156910,baby,153,main
47,335,50,313,195_195024,fish,154,main
136,293,14,228,72_72319,statue,155,main
35,381,55,200,30_30022,man,156,main
63,328,73,200,98_98946,insect,157,main
33,255,40,351,51_51547,animal,158,main
105,298,40,283,113_113905,squirrel,159,main
38,362,53,230,147_147009,window,160,main
19,257,64,323,107_107692,fruit,161,main
43,214,47,362,162_162614,cat,162,main
80,211,64,313,123_123309,doll,163,main
118,367,57,250,0_454,dog,164,main
143,339,16,236,153_153091,people,165,main
95,300,6,330,0_187,frog,166,main
18,210,92,257,5_5463,fruit,167,assess1
39,327,38,225,141_141284,child,168,main
56,186,104,269,89_89260,light,169,main
49,290,89,292,185_185947,horse,170,main
29,368,85,247,146_146987,sculpture,171,main
44,245,144,326,52_52609,ornament,172,main
70,239,71,214,170_170079,ornament,173,main
128,302,125,381,181_181957,horse,174,main
94,268,7,240,97_97863,flower,175,main
48,263,79,372,23_23824,food,176,main
115,344,34,276,97_97915,apple,177,main
103,313,75,253,24_24453,baby,178,main
113,379,16,305,117_117101,leaf,179,main
50,171,35,319,1_1134,plane,180,main
32,265,84,314,56_56734,toy,181,main
63,382,86,297,12_12018,fruit,182,main
10,369,76,187,50_50829,bottle,183,main
68,373,127,385,110_110162,window,184,main
61,368,63,246,183_183561,girl,185,main
70,256,64,279,36_36139,boat,186,main
66,184,60,382,159_159161,owl,187,main
41,288,65,245,88_88660,people,188,main
56,256,95,333,204_204609,shell,189,main
30,214,106,359,94_94681,bee,190,main
34,400,85,223,201_201125,woman,191,main
116,360,0,388,99_99354,people,192,main
118,280,92,277,86_86054,leaf,193,main
125,382,112,221,126_126029,lighthouse,194,main
112,186,130,281,120_120014,metal,195,main
14,236,78,312,13_13386,egg,196,main
11,331,60,300,206_206284,egg,197,main
77,191,64,362,170_170287,ornament,198,main
22,356,20,236,87_87881,doll,199,main
38,240,85,271,39_39748,leaf,200,main
42,285,45,194,204_204360,lighthouse,201,main
39,262,74,288,162_162516,flower,202,main
32,361,102,288,131_131328,clock,203,main
14,288,170,390,116_116611,sculpture,204,main
35,211,42,290,128_128766,fish,205,main
54,239,89,160,154_154435,boy,206,main
